Bus Route Number,Stop Locations,Timestamp,Passenger Count,Trip Duration (mins),Incident ID,Crime Category,Date/Time,District/Zone,Incident Description,Timestamp.1,Latitude,Longitude,Vehicle Count,Accident Severity,Weather Condition
224,Main Station,01-01-2023 13:00,28,16,c2703c64-29eb-49d5-80cc-ae739225367b,3,01-01-2023 13:00,1,Movie less speech eye first attack help.,01-01-2023 13:00,21.637017332034823,72.13863767786921,15,2,0
26,Industrial Area,01-01-2023 14:00,61,33,037a5354-7a3d-4d70-ae03-1ed1f018b6c3,11,01-01-2023 14:00,4,Kind state issue garden decision state debate new.,01-01-2023 14:00,21.545474901621297,69.52151775442579,34,6,0
323,Airport,01-01-2023 15:00,209,107,185dc4d7-6223-46fa-8444-ab96f0f55f1d,16,01-01-2023 15:00,5,Civil check class pressure prepare relationship.,01-01-2023 15:00,21.550213529560303,72.73963768532158,106,9,0
413,Mall,01-01-2023 16:00,145,72,bf573291-450c-47c0-b143-361c4f43b1be,-2,01-01-2023 16:00,0,Pick notice with when identify nice stage garden their.,01-01-2023 16:00,21.912726728878614,70.61579601716787,74,0,0
104,Mall,01-01-2023 17:00,82,39,ee4a4870-37cc-4388-aec5-8a85a9016dfa,4,01-01-2023 17:00,2,Lay theory role whom somebody factor drive seek thousand.,01-01-2023 17:00,22.57426929489672,72.99469774598367,38,1,0
399,Main Station,01-01-2023 18:00,19,10,7c3ddb6f-9840-4d36-b651-46af02351ce5,13,01-01-2023 18:00,4,City college factor party activity college offer six white test talk.,01-01-2023 18:00,22.295835055926347,72.03820391307691,12,6,0
168,Airport,01-01-2023 19:00,93,47,91940a75-1caf-4341-aabe-8f5486228214,4,01-01-2023 19:00,2,Million point foreign morning tough begin see action cause spend prepare less.,01-01-2023 19:00,21.87368742059413,70.58545744976746,46,1,0
373,Industrial Area,01-01-2023 20:00,207,104,038b1973-eec0-47d3-a599-64b555387ceb,1,01-01-2023 20:00,0,Many able career money discussion time among hotel popular number water dark.,01-01-2023 20:00,22.835558684167147,70.78146480165536,102,1,0
436,Suburb,01-01-2023 21:00,179,92,039a990b-38a9-4d05-997c-ff250fc2ab4a,1,01-01-2023 21:00,1,Night success authority couple test within loss business.,01-01-2023 21:00,21.41848158195613,72.6575368483318,89,1,0
456,Airport,01-01-2023 22:00,82,41,9f0b3312-a04c-41f1-b3f1-85f4b57a909e,5,01-01-2023 22:00,0,Important brother interesting religious ahead physical whole.,01-01-2023 22:00,21.87643394560565,71.7502965756144,43,2,3
414,Suburb,01-01-2023 23:00,156,80,886297a8-0558-4b74-8336-b34c22d59f5c,19,01-01-2023 23:00,4,Major performance live firm force happy small hope ready economic.,01-01-2023 23:00,22.09908552988108,72.34175520335656,77,9,3
62,City Center,02-01-2023 00:00,242,119,b82be1a7-329b-4cfe-85ce-05a6470b23f4,16,02-01-2023 00:00,5,When itself table picture your sea.,02-01-2023 00:00,22.36820995265111,69.79159160537594,120,9,0
455,Main Station,02-01-2023 01:00,233,118,db366e5d-c3cf-4dff-b1b8-f8e068acb54e,-2,02-01-2023 01:00,0,Television plan say young he perhaps nature by agreement everything.,02-01-2023 01:00,23.35552788417904,72.9348833611421,118,0,0
379,City Center,02-01-2023 02:00,218,109,b374bea8-e912-4390-ba23-e677c68aeb1f,2,02-01-2023 02:00,0,System say onto pretty this middle vote city remember seven site civil.,02-01-2023 02:00,21.59902134647508,70.60195659457517,109,1,1
157,Main Station,02-01-2023 03:00,109,55,3121e9f0-83bf-46dc-be2d-08417237b7a4,4,02-01-2023 03:00,0,Magazine bag office eye kind chance father season significant.,02-01-2023 03:00,22.54270331524084,72.09930633578837,52,3,2
125,Suburb,02-01-2023 04:00,27,15,4ccab86f-b68b-4413-96cd-5733eb474a25,7,02-01-2023 04:00,2,Decide buy beautiful reality give school bad each collection job any least.,02-01-2023 04:00,22.777243706586127,69.57339912621005,16,4,1
281,Airport,02-01-2023 05:00,150,75,a21c4092-f2b0-40cc-9c7e-6c96acf0f7f0,6,02-01-2023 05:00,2,Despite seem story safe yet easy significant pressure.,02-01-2023 05:00,21.13935123816,70.60710120578483,72,2,1
344,Suburb,02-01-2023 06:00,182,90,0d89e68b-6b2a-4666-9c5d-c144f4f9a921,14,02-01-2023 06:00,5,Office hair call term case fight air fill thing.,02-01-2023 06:00,22.822634555704315,72.2443364653332,88,6,0
42,Suburb,02-01-2023 07:00,164,83,e9f60e0d-22d9-41f8-9c23-657abb0fd14e,17,02-01-2023 07:00,4,Company although scene method employee issue.,02-01-2023 07:00,21.51157237106188,70.37103066145126,84,7,3
250,Mall,02-01-2023 08:00,73,38,7816fcdc-205c-4324-a41b-f33009fa7b72,6,02-01-2023 08:00,1,Line fire catch team reflect war offer recently father.,02-01-2023 08:00,21.19515477895584,73.40156098374908,39,3,2
372,Airport,02-01-2023 09:00,180,91,aa1076d2-e27f-44ff-a5d8-bfe396446dba,7,02-01-2023 09:00,3,Left race threat that project building street nearly late let movement forget none.,02-01-2023 09:00,23.84665661,72.3061419972171,88,4,0
151,Mall,02-01-2023 10:00,127,63,93007c0a-1dd1-4dd7-99c2-acd158adc089,4,02-01-2023 10:00,2,Support level food whatever response sport collection health.,02-01-2023 10:00,23.89689609922368,73.35139196648396,64,2,0
108,Mall,02-01-2023 11:00,188,95,e3e82340-f695-4b47-a5e0-89c0344e5ce8,7,02-01-2023 11:00,3,Young investment factor water out speak interview time.,02-01-2023 11:00,23.42519204434939,70.9769535112556,95,4,0
55,Airport,02-01-2023 12:00,195,99,7b05b166-69c4-40aa-b61f-912812d7fd9b,2,02-01-2023 12:00,0,Stop either surface here plan maybe nor if paper she report cause model.,02-01-2023 12:00,21.913841307520112,69.16992571312338,100,0,1
370,Main Station,02-01-2023 13:00,34,15,508d11e6-7429-4c72-a310-3eca212b9b32,9,02-01-2023 13:00,1,Easy box hear which seven arrive hotel professional.,02-01-2023 13:00,21.293016342019147,71.88069981677552,15,5,3
148,Airport,02-01-2023 14:00,139,71,27353a31-3ea3-49f3-945a-ff59ffd6b97b,16,02-01-2023 14:00,5,Property skin bring get decision expert decide practice whose help reflect long down measure.,02-01-2023 14:00,23.052699079536467,70.69596751362687,69,7,0
459,City Center,02-01-2023 15:00,40,22,fcddd52b-268e-4cbb-946a-0aa24b6f1aea,10,02-01-2023 15:00,4,Blue through popular everybody somebody past yet assume pull test center.,02-01-2023 15:00,22.32045748121881,71.24094187961177,21,6,0
212,Suburb,02-01-2023 16:00,82,39,91067958-bde2-4022-a852-e5ea1bea9498,15,02-01-2023 16:00,5,Accept region east wonder hot decide reflect course treatment practice.,02-01-2023 16:00,21.366114704534336,72.40555106961375,36,8,0
40,Mall,02-01-2023 17:00,127,64,1ef951a1-1e9a-446b-b644-a038d3f5c0b0,6,02-01-2023 17:00,2,If hand special authority which begin spend as kid.,02-01-2023 17:00,22.48553073033381,72.50332333535435,66,3,1
403,Main Station,02-01-2023 18:00,167,86,21ee345b-2b0b-47c8-813e-939976a3b360,1,02-01-2023 18:00,1,Music of wait keep improve owner choose example they water sport because.,02-01-2023 18:00,21.103165563345648,69.13778207432908,85,0,0
246,Industrial Area,02-01-2023 19:00,159,81,ad7dd3aa-03d5-42d0-b444-88bcbce29f2f,14,02-01-2023 19:00,3,Model people effect note everything sort seat.,02-01-2023 19:00,23.72796120623635,72.84651336419806,80,8,3
196,Suburb,02-01-2023 20:00,77,38,7f0203a8-fd02-45f5-ba85-41a257da8f41,4,02-01-2023 20:00,1,Billion much concern across sell available site person.,02-01-2023 20:00,21.776339944800053,71.46759457478039,35,3,0
73,Airport,02-01-2023 21:00,21,13,d5075eba-3873-4c0c-8664-283128c97b8f,5,02-01-2023 21:00,2,All authority interesting job light simple public individual true hand situation edge ahead.,02-01-2023 21:00,22.987566853061946,71.78349386662275,10,2,0
343,Airport,02-01-2023 22:00,197,101,749e106c-e8ba-406e-b033-dae060127cb5,8,02-01-2023 22:00,2,Bank small father nothing section top general prepare sometimes white fly.,02-01-2023 22:00,21.93513322826823,70.48997092594927,99,5,2
179,Industrial Area,02-01-2023 23:00,208,105,d6c25067-2c30-485f-9395-670bb73e00e7,8,02-01-2023 23:00,2,Theory bag half nation particularly exist nearly money specific ago economy life direction.,02-01-2023 23:00,22.56020406353344,71.10416893000291,104,5,2
391,Industrial Area,03-01-2023 00:00,164,81,7ad22a38-cf3d-478d-a8e1-788adc6727ee,3,03-01-2023 00:00,1,City admit dinner view add every protect meet.,03-01-2023 00:00,22.64013083802984,72.55187566989666,83,2,0
136,City Center,03-01-2023 01:00,164,80,00bc306e-0340-4f15-8641-9b600b726b2f,3,03-01-2023 01:00,0,Black management hot operation hotel require less.,03-01-2023 01:00,21.554563366576577,72.8835690147213,78,2,2
496,City Center,03-01-2023 02:00,125,64,7d39db90-7d8d-4b1d-b9a4-cc4833f3cf02,12,03-01-2023 02:00,4,Only section world large onto entire to baby.,03-01-2023 02:00,23.90875388329368,70.93553090583991,61,7,0
120,Industrial Area,03-01-2023 03:00,148,75,fd5d6f02-dd1a-4312-a693-9e50d40299d1,-2,03-01-2023 03:00,0,Between trouble toward field if media similar.,03-01-2023 03:00,23.325398470083343,72.45558766325665,73,0,0
235,City Center,03-01-2023 04:00,22,12,248e020f-b357-42f8-a818-92ba5b390d50,-1,03-01-2023 04:00,0,Art hope two series read example by another leg cost play.,03-01-2023 04:00,23.81849682469257,70.2902175084422,14,0,0
221,Industrial Area,03-01-2023 05:00,188,92,9c512326-291a-419b-800e-5703eec29005,4,03-01-2023 05:00,2,Home fly administration argue term similar result hope message.,03-01-2023 05:00,23.684482051282945,73.16011332588758,94,2,0
499,City Center,03-01-2023 06:00,99,50,aa24369b-cca7-4974-9067-19651aabd230,16,03-01-2023 06:00,5,View blue difference prove as already able participant allow line most state.,03-01-2023 06:00,22.79369993643325,72.04907119453681,51,9,0
142,Mall,03-01-2023 07:00,235,119,63b1df43-6f9d-403f-89b7-07ac11b0b882,14,03-01-2023 07:00,4,Big behind win record reflect notice wind nice lot save.,03-01-2023 07:00,23.76562270506935,72.87593258033448,121,7,2
269,City Center,03-01-2023 08:00,231,117,4da906ff-061c-411b-9e9f-75b7b685402b,8,03-01-2023 08:00,1,Water sit rule woman argue again until you wish change kind theory.,03-01-2023 08:00,21.26547750615576,71.38577426158923,114,5,3
106,City Center,03-01-2023 09:00,142,70,17b4591d-1b5c-4fd0-a0ab-02c6c2d70538,10,03-01-2023 09:00,4,Tough arrive question wind billion white nothing plan beat.,03-01-2023 09:00,21.587948587257447,70.14554642490978,68,5,0
99,Main Station,03-01-2023 10:00,29,16,84a6d8b0-b055-4267-8a79-9bd304859299,10,03-01-2023 10:00,4,Decide religious anyone young already color house source role put.,03-01-2023 10:00,21.135681866731613,71.14615556656823,13,5,0
376,Suburb,03-01-2023 11:00,170,84,3f4e2e37-79be-4a90-bf3e-12fc8557b737,16,03-01-2023 11:00,3,Major bank once someone success keep four drive if such improve.,03-01-2023 11:00,21.975990992289795,70.90742697239159,84,7,3
277,Airport,03-01-2023 12:00,81,39,0290faf3-0ed1-4960-be86-81d72f55362a,11,03-01-2023 12:00,3,Kitchen than politics thousand indeed him issue sound chair.,03-01-2023 12:00,22.16603186906845,70.6635827172008,41,6,2
321,Industrial Area,03-01-2023 13:00,190,94,7d7698b2-b7a9-43fa-84f6-b56a288d86d0,9,03-01-2023 13:00,3,Meet military benefit smile per step money cost attack.,03-01-2023 13:00,21.814047095321687,70.0608687387074,94,5,0
285,Suburb,03-01-2023 14:00,139,68,c7b048ef-c3dc-4c07-ac0b-6f41425e1aef,5,03-01-2023 14:00,2,Yard miss live fund treat whose must stay prove through.,03-01-2023 14:00,23.486212527455788,72.79583570939903,66,1,0
337,Industrial Area,03-01-2023 15:00,55,27,76678397-b638-497b-bb00-5be8f57cf5f3,6,03-01-2023 15:00,2,Born against summer evening fast dark thought certain.,03-01-2023 15:00,22.070259980080767,69.43175830660279,28,2,0
152,Suburb,03-01-2023 16:00,76,36,9751caaf-fb77-446c-a653-e35c4c418fef,13,03-01-2023 16:00,2,Positive commercial trial voice down play adult could true organization.,03-01-2023 16:00,21.84280352906214,73.43780464942917,37,5,3
340,Main Station,03-01-2023 17:00,203,103,2473aef7-ab89-4f7a-b9cf-be61c99add56,8,03-01-2023 17:00,2,Go sister commercial law writer former animal behind price child over.,03-01-2023 17:00,22.62808824947475,69.87512361448877,104,4,2
196,Suburb,03-01-2023 18:00,97,50,438010c2-6537-419d-bff2-5ff386a1032c,18,03-01-2023 18:00,5,Assume economy three various goal whether behavior realize.,03-01-2023 18:00,21.42277267492429,73.89936825925771,48,9,1
130,Suburb,03-01-2023 19:00,46,24,ca6af174-6935-43cf-ba93-be73b2b179ec,2,03-01-2023 19:00,1,Idea lead agreement shoulder however general fight.,03-01-2023 19:00,23.40659094226212,73.94234024043537,24,2,0
330,City Center,03-01-2023 20:00,104,51,f6c03de8-eaef-488e-9130-8edd71163763,12,03-01-2023 20:00,2,Man forget beautiful Mrs long radio provide red movement institution account speech.,03-01-2023 20:00,21.22365193103932,70.99193520620575,53,5,3
155,Main Station,03-01-2023 21:00,236,116,983bfc27-261a-446a-a644-193f3c214141,2,03-01-2023 21:00,0,Work whatever hospital exist film trip quite.,03-01-2023 21:00,23.96066080980156,73.93910536316132,118,1,2
328,City Center,03-01-2023 22:00,214,108,5f727dd1-7514-4d16-bf20-43be99d74554,11,03-01-2023 22:00,3,Above teacher know watch charge military traditional hair.,03-01-2023 22:00,23.316734307889966,73.34534258640363,105,4,2
155,Mall,03-01-2023 23:00,129,63,231bf5c6-44c2-4301-9fc5-d3c643bedba8,1,03-01-2023 23:00,1,Any property movie nor provide against plan charge.,03-01-2023 23:00,21.59614704460252,69.41215138473332,61,1,0
384,Industrial Area,04-01-2023 00:00,204,102,6f5d4e60-6356-4344-a568-966ea8f24605,-2,04-01-2023 00:00,0,Meet receive among we audience real two strategy.,04-01-2023 00:00,21.016566351370805,73.7366428181431,102,0,0
240,Main Station,04-01-2023 01:00,61,33,e429dec4-960e-4f55-932d-8cc9ce0cdbc9,7,04-01-2023 01:00,1,Manager market worry glass pressure dark someone phone number finish.,04-01-2023 01:00,23.446384285364505,69.21257192952297,31,4,2
477,Main Station,04-01-2023 02:00,154,79,e9857920-fdca-45a3-b579-4d0bb5bb0b83,12,04-01-2023 02:00,4,Book perhaps operation enjoy like still final effort difference interview.,04-01-2023 02:00,23.12057203154285,69.90957146869553,80,7,0
267,Suburb,04-01-2023 03:00,91,44,ead26c4c-3b92-4840-825c-6c143e61aa30,7,04-01-2023 03:00,3,Song cause house every exactly language.,04-01-2023 03:00,23.187021504122963,71.92297770423338,45,4,0
420,Airport,04-01-2023 04:00,158,80,a0eb7d22-98a5-478d-bb80-7f5fb9de56b0,7,04-01-2023 04:00,3,Table him point heavy network various participant life matter.,04-01-2023 04:00,23.31381104005784,69.40368589200007,77,4,0
323,City Center,04-01-2023 05:00,179,89,2a989371-04cd-4f5f-840a-8e576cafc02d,13,04-01-2023 05:00,3,Something audience service keep despite result night kitchen.,04-01-2023 05:00,21.22213395520227,69.80863878494685,88,7,2
467,Industrial Area,04-01-2023 06:00,127,64,f067b17c-62c2-4788-9311-fe0fa23093d1,11,04-01-2023 06:00,2,Action soon special think teacher least writer interest great information.,04-01-2023 06:00,22.075397185632816,73.7674589355612,65,5,2
423,Main Station,04-01-2023 07:00,152,78,321b74f9-1e5b-48da-939d-fd25656ffbff,7,04-01-2023 07:00,2,Because reason room serve dream professional room sit gas become nation to draw.,04-01-2023 07:00,21.347607178575387,73.97343942443804,77,3,1
62,Mall,04-01-2023 08:00,160,81,e32431c0-84dd-444f-9248-1866266dfc85,4,04-01-2023 08:00,2,Purpose manager least film baby single not.,04-01-2023 08:00,23.58931027762679,72.99068270890149,81,2,0
458,Airport,04-01-2023 09:00,169,85,4772d47c-e43c-4912-80e4-697c8ff0e333,4,04-01-2023 09:00,1,Past paper your interesting American fish spring.,04-01-2023 09:00,22.86989438048268,71.57604695732351,83,2,0
319,City Center,04-01-2023 10:00,35,17,501b4a53-552c-4908-bcc5-f5161bbd8425,13,04-01-2023 10:00,3,Arm growth stay author probably decision include small with unit deal kind management.,04-01-2023 10:00,21.992694074557942,73.50150467845837,15,5,3
126,Suburb,04-01-2023 11:00,144,72,4be5a53c-5efa-47e7-b323-59d3074d669f,1,04-01-2023 11:00,1,Watch leave try dream meeting maybe wonder.,04-01-2023 11:00,21.190675050858072,69.55949385441784,74,0,0
43,Suburb,04-01-2023 12:00,55,26,99ead77a-e275-4028-b7b5-b4b2a9823d2b,15,04-01-2023 12:00,5,Decision particular fire drug PM left health.,04-01-2023 12:00,21.932946965146986,73.71445934622504,26,8,0
450,Mall,04-01-2023 13:00,125,65,831d208a-42af-4542-bf84-33f60839a71b,1,04-01-2023 13:00,1,Trial control person compare individual defense political begin enjoy truth indeed member.,04-01-2023 13:00,21.97554996608024,70.75776463727715,67,1,0
175,Mall,04-01-2023 14:00,150,74,b17c1a54-2106-44f8-b171-ec3e6cc52bc5,12,04-01-2023 14:00,3,Smile sit hotel not unit charge experience.,04-01-2023 14:00,23.188818535014192,73.30744695616598,74,7,1
64,Mall,04-01-2023 15:00,119,60,04d033a4-d0b4-41b9-884b-66bc2f57f3c1,16,04-01-2023 15:00,5,Store ever growth paper hear experience read.,04-01-2023 15:00,22.912672414065643,72.34186702992695,62,8,0
13,City Center,04-01-2023 16:00,149,77,83bfebde-8095-4e7d-8f21-485a58a8ef6f,13,04-01-2023 16:00,5,Trip research attorney series remember lay still response argue natural.,04-01-2023 16:00,23.661638227728982,73.80137152027861,76,6,0
323,Main Station,04-01-2023 17:00,27,13,61534915-4bdc-47aa-95be-350d887496f8,1,04-01-2023 17:00,1,Bar wall series myself capital prevent food final Democrat fight focus discussion.,04-01-2023 17:00,22.41664477548585,73.32338973897909,12,1,0
304,City Center,04-01-2023 18:00,145,74,b84a3f9d-fef8-42e5-a826-f2647eb77d51,8,04-01-2023 18:00,3,Fall she individual house special yard hold sing month training.,04-01-2023 18:00,21.358782737814906,73.43948906775455,71,3,0
310,Main Station,04-01-2023 19:00,39,18,5f5d4a05-15e8-49aa-bf4a-63f0e5ce7b4c,17,04-01-2023 19:00,4,Yard control act whose best choice great to rise father as.,04-01-2023 19:00,23.13973436166898,72.15877178060016,17,9,3
36,City Center,04-01-2023 20:00,54,28,6eacb73f-cae7-4f5c-878c-a4f4ea2a7cba,9,04-01-2023 20:00,3,Subject very nearly up reduce radio research southern discuss table realize late simple.,04-01-2023 20:00,23.28235514585069,73.16579265488139,30,5,0
456,Suburb,04-01-2023 21:00,196,100,2845681b-4b46-46f9-8683-0bf747894593,13,04-01-2023 21:00,3,Run program also program around your want ball.,04-01-2023 21:00,22.683831592708486,72.78565575380671,102,6,2
306,Industrial Area,04-01-2023 22:00,166,82,990fafdd-e1a2-4712-800d-444789e5f840,-2,04-01-2023 22:00,0,Executive body civil western language style parent down.,04-01-2023 22:00,23.31290153986368,69.80811565451944,80,0,0
310,City Center,04-01-2023 23:00,229,113,47104501-18bf-4874-ae7d-fe6da5912e6c,12,04-01-2023 23:00,4,Look hear suggest brother us health sign difference guess morning ground his bit.,04-01-2023 23:00,22.48138678909317,72.24298445676621,110,7,0
409,Main Station,05-01-2023 00:00,107,54,01c2edd1-075c-43e4-8fa1-28b68193e842,7,05-01-2023 00:00,3,Bar choose better well mention film rest.,05-01-2023 00:00,22.56819848814598,69.7408777326008,56,4,0
7,City Center,05-01-2023 01:00,234,115,f0c34c84-a965-4195-b4bd-6b2adeffd839,11,05-01-2023 01:00,4,Develop good third exist American east.,05-01-2023 01:00,22.28262305507565,73.34728060942766,114,6,0
150,Airport,05-01-2023 02:00,150,77,0acea0db-7a80-4ae1-8ca4-84c50a762da1,1,05-01-2023 02:00,1,Born opportunity western section cut daughter meeting boy job describe TV.,05-01-2023 02:00,21.076257380232285,69.32974899669985,77,0,0
317,Main Station,05-01-2023 03:00,214,107,e9dd8069-aeb5-4e2a-98bb-5db5294c3211,14,05-01-2023 03:00,4,Election such issue movement wish bed.,05-01-2023 03:00,21.323674280979915,73.93523335096637,107,8,1
122,Suburb,05-01-2023 04:00,181,93,fc7989cb-6811-4543-bd2f-92ece084030d,7,05-01-2023 04:00,2,Drop that education wonder where reveal.,05-01-2023 04:00,21.0942875570602,71.00313333068856,94,2,0
138,Main Station,05-01-2023 05:00,182,92,2832635b-693c-47d0-8e52-879698bf1d1f,8,05-01-2023 05:00,2,Our remain some event run role score card heart must court subject.,05-01-2023 05:00,22.909231233791346,69.85314676850717,89,4,1
42,Mall,05-01-2023 06:00,225,111,e07364fa-2200-4533-8d09-7ce8c0412fa5,11,05-01-2023 06:00,4,Whole arm himself only him save economy herself stop church notice standard song.,05-01-2023 06:00,21.94306794322898,73.67837491830612,108,6,0
344,Suburb,05-01-2023 07:00,126,61,5f2a72c5-458d-4018-8708-e1478a1c05aa,13,05-01-2023 07:00,4,Hit rich put all other necessary election music that.,05-01-2023 07:00,22.52571207349411,69.22712993114925,58,7,0
180,Mall,05-01-2023 08:00,186,91,03fe5a64-0fa0-434a-a4ec-c461881ead75,7,05-01-2023 08:00,2,Collection fast answer direction language community save.,05-01-2023 08:00,23.722699421778284,71.35052817254491,88,4,0
422,Suburb,05-01-2023 09:00,182,93,e1c7c2d0-4562-4366-af95-4f5ddbb56623,16,05-01-2023 09:00,5,With finish serious avoid important painting letter win very home thing.,05-01-2023 09:00,21.747876687446624,72.85113563962251,95,8,0
291,Industrial Area,05-01-2023 10:00,240,118,dd87799a-a2fe-423f-a95d-911168b9a995,9,05-01-2023 10:00,1,Play song carry cut style produce wrong follow morning human total group.,05-01-2023 10:00,22.231148769106888,70.5837523771585,117,4,3
264,Main Station,05-01-2023 11:00,235,118,87aa67b6-cc8f-444a-a671-761579a9b241,-2,05-01-2023 11:00,0,Hospital increase night get traditional fire knowledge better push where.,05-01-2023 11:00,23.266653415629147,71.64417334951399,117,0,0
490,Mall,05-01-2023 12:00,158,78,bf16c889-3724-42c5-8281-4d143809febf,2,05-01-2023 12:00,0,Respond away evidence choice drug meet down age fire herself.,05-01-2023 12:00,21.686394496474872,72.50206508156901,79,2,1
340,Main Station,05-01-2023 13:00,132,66,09fa2d7e-186a-436a-989b-19c9c52c225b,7,05-01-2023 13:00,0,Its tend few sea employee present decide relate eight involve when.,05-01-2023 13:00,21.23093972948638,73.75988210500661,67,2,3
414,Industrial Area,05-01-2023 14:00,204,100,1a49b47d-fe78-4120-aa8b-aec6a7ff70b2,11,05-01-2023 14:00,4,Avoid statement arm travel car painting.,05-01-2023 14:00,21.8692543587413,69.51351319635515,97,5,0
108,Mall,05-01-2023 15:00,189,94,49b235f0-c340-4b8c-8ba8-fa760d4d13b3,1,05-01-2023 15:00,1,Choose travel draw enjoy common this.,05-01-2023 15:00,21.48366386176201,69.7861335185746,96,1,0
479,Airport,05-01-2023 16:00,228,116,c60de9fa-6d80-4d38-b60b-efe55a3ae009,9,05-01-2023 16:00,3,Remember ability still guess history gas box me movie health yet choose.,05-01-2023 16:00,23.78909295702772,71.54435447597035,115,5,1
201,Suburb,05-01-2023 17:00,188,92,184e9212-b9d2-4723-9581-c0e0b8737b8f,7,05-01-2023 17:00,2,There by professor focus instead grow.,05-01-2023 17:00,23.42436113869325,71.09237480575024,91,4,0
441,Mall,05-01-2023 18:00,59,31,540891f4-dc2b-4adf-9178-9e6b7aff6aaa,10,05-01-2023 18:00,2,Expert last she happy own most bed.,05-01-2023 18:00,22.90021126953127,71.05398080341833,32,4,2
10,City Center,05-01-2023 19:00,171,88,137814f9-6496-4800-8726-834a39c7b01c,7,05-01-2023 19:00,3,Decide he recent realize public couple.,05-01-2023 19:00,23.61438177056316,70.48480751468077,89,4,0
310,Suburb,05-01-2023 20:00,209,107,0d7cdfc9-cf6e-49f6-9a48-101a7b2f1662,4,05-01-2023 20:00,2,College teach huge part necessary out authority baby nothing.,05-01-2023 20:00,23.411016230697346,71.80342399254478,105,1,0
296,Main Station,05-01-2023 21:00,63,34,d66cfba4-6877-46cb-9f1d-ed5e6af6dfba,17,05-01-2023 21:00,4,Color second chair interview with character break try cultural at often generation ahead.,05-01-2023 21:00,21.55971017665811,73.41644168082858,34,7,3
364,Suburb,05-01-2023 22:00,214,108,8ff5dcde-c223-46eb-9d05-4888d53b179a,10,05-01-2023 22:00,4,Recognize call believe push career nature of policy.,05-01-2023 22:00,23.677676995469927,69.80462170268932,106,5,0
